http://www.wikidata.org/entity/Q2353137;1369;70
http://www.wikidata.org/entity/Q571237;1382;83
http://www.wikidata.org/entity/Q3504060;1419;118
http://www.wikidata.org/entity/Q1185676;1430;129
http://www.wikidata.org/entity/Q16013458;1774;454
http://www.wikidata.org/entity/Q3704939;1887;561
http://www.wikidata.org/entity/Q1303955;1897;571
http://www.wikidata.org/entity/Q629495;1940;614
http://www.wikidata.org/entity/Q445208;1950;624
http://www.wikidata.org/entity/Q813971;2020;694
http://www.wikidata.org/entity/Q649256;2143;811
http://www.wikidata.org/entity/Q522220;2157;825
http://www.wikidata.org/entity/Q15639931;2165;833
http://www.wikidata.org/entity/Q11957283;2243;911
http://www.wikidata.org/entity/Q169071;2274;942
http://www.wikidata.org/entity/Q12049821;2307;975
http://www.wikidata.org/entity/Q47481582;2416;1082
http://www.wikidata.org/entity/Q3808508;2435;1101
http://www.wikidata.org/entity/Q3704957;2446;1112
http://www.wikidata.org/entity/Q17580364;2513;1178
http://www.wikidata.org/entity/Q15056635;2627;1290
http://www.wikidata.org/entity/Q53276981;2631;1294
http://www.wikidata.org/entity/Q539768;2969;1606
http://www.wikidata.org/entity/Q536274;2974;1611
http://www.wikidata.org/entity/Q1930403;2977;1614
http://www.wikidata.org/entity/Q573797;2978;1615
http://www.wikidata.org/entity/Q536359;2979;1616
http://www.wikidata.org/entity/Q2023849;2980;1617
http://www.wikidata.org/entity/Q1383219;3002;1639
http://www.wikidata.org/entity/Q312920;3005;1642
http://www.wikidata.org/entity/Q16215194;3025;1662
http://www.wikidata.org/entity/Q1936277;3032;1669
http://www.wikidata.org/entity/Q6522685;3069;1706
http://www.wikidata.org/entity/Q43141261;3112;1749
http://www.wikidata.org/entity/Q3616596;3180;1813
http://www.wikidata.org/entity/Q12025546;3314;1947
http://www.wikidata.org/entity/Q53871057;3339;1972
http://www.wikidata.org/entity/Q55445806;3358;1991
http://www.wikidata.org/entity/Q22007448;3451;2082
http://www.wikidata.org/entity/Q22007139;3483;2114
http://www.wikidata.org/entity/Q26316189;3668;2297
